Pos,ID,Name,BV,SV,Team,38_xMins,38_Pts,Elite%
G,580,Karius,3.9,3.9,Newcastle,0,0.00,0.00
D,581,Dummett,3.9,3.9,Newcastle,11,0.34,0.00
M,582,Mpanzu,4.6,4.6,Luton,29,1.08,0.00
M,583,Solomon,5.1,5.1,Spurs,0,0.00,0.00
D,584,Pau,4.6,4.6,Aston Villa,87,2.63,0.00
D,585,J.Timber,4.6,4.6,Arsenal,4,0.15,0.00
M,586,Chong,4.4,4.4,Luton,76,2.99,0.00
M,587,Slimane,4.7,4.7,Sheffield Utd,4,0.25,0.00
D,588,Young,4.4,4.4,Everton,73,1.47,0.00
M,589,Ângelo,5.0,5.0,Chelsea,0,0.00,0.00
F,590,Cunha,5.5,5.5,Wolves,82,2.97,0.00
M,591,Willian,5.3,5.3,Fulham,62,3.24,0.00
D,592,Larouci,4.3,4.3,Sheffield Utd,12,0.43,0.00
F,593,T.Bénie,5.1,5.1,Sheffield Utd,0,0.00,0.00
F,594,Amdouni,5.1,5.1,Burnley,22,1.33,0.00
D,595,Kerkez,4.4,4.4,Bournemouth,30,0.91,0.00
G,596,Trafford,4.4,4.4,Burnley,2,0.06,0.00
G,597,Onana,5.0,5.0,Man Utd,95,3.51,0.22
D,598,Doherty,4.3,4.3,Wolves,53,1.38,0.00
M,599,Diaby,6.3,6.3,Aston Villa,85,3.61,0.00
M,600,Redmond,4.7,4.7,Burnley,0,0.00,0.00
M,601,Danjuma,5.2,5.2,Everton,31,1.47,0.00
D,602,Kaboré,4.0,4.0,Luton,0,0.00,0.00
M,603,Barnes,6.2,6.2,Newcastle,59,2.94,0.00
D,604,Aina,4.5,4.5,Nott'm Forest,89,2.90,0.00
M,605,Koleosho,4.8,4.8,Burnley,0,0.00,0.00
D,606,Igor,4.3,4.3,Brighton,85,2.71,0.00
G,607,Radu,4.3,4.3,Bournemouth,0,0.00,0.00
M,608,Bruun Larsen,4.8,4.8,Burnley,70,3.92,0.00
M,609,Maatsen,5.1,5.1,Chelsea,0,0.00,0.00
D,610,Bassey,4.4,4.4,Fulham,91,3.04,0.00
D,611,Disasi,4.9,4.9,Chelsea,14,0.54,0.01
M,613,Ugochukwu,4.4,4.4,Chelsea,13,0.53,0.00
G,614,Kaminski,4.5,4.5,Luton,95,3.46,0.01
M,615,Matheus França,4.8,4.8,Crystal Palace,0,0.00,0.00
D,616,Gvardiol,5.2,5.1,Man City,77,4.20,0.45
F,617,Højlund,7.1,7.1,Man Utd,80,3.57,0.02
M,618,Kellyman,4.5,4.5,Aston Villa,13,0.58,0.00
D,619,Greenwood,4.0,4.0,Bournemouth,0,0.00,0.00
M,620,Olakigbe,4.5,4.5,Brentford,0,0.00,0.00
M,621,Hinshelwood,4.5,4.5,Brighton,0,0.00,0.00
D,622,Dodgson,4.0,4.0,Burnley,0,0.00,0.00
F,623,Burstow,4.5,4.5,Chelsea,0,0.00,0.00
M,624,Dobbin,4.5,4.5,Everton,10,0.49,0.00
D,625,De Fougerolles,3.9,3.9,Fulham,0,0.00,0.00
D,626,Quansah,4.0,4.0,Liverpool,64,2.86,0.00
M,627,Clark,4.4,4.4,Liverpool,0,0.00,0.00
M,628,Doak,4.3,4.3,Liverpool,0,0.00,0.00
M,629,McConnell,4.4,4.4,Liverpool,0,0.00,0.00
M,630,Barkley,4.5,4.5,Luton,0,0.00,0.00
F,631,Brown,4.9,4.9,Luton,0,0.00,0.00
M,632,Forson,4.4,4.4,Man Utd,2,0.10,0.00
D,633,Livramento,4.0,4.0,Newcastle,0,0.00,0.07
D,634,A.Murphy,3.9,3.9,Newcastle,2,0.06,0.00
M,635,Miley,4.5,4.5,Newcastle,0,0.00,0.00
G,636,G.Shelvey,3.9,3.9,Nott'm Forest,0,0.00,0.00
D,637,Powell,3.9,3.9,Nott'm Forest,0,0.00,0.00
M,638,Vini Souza,5.0,5.0,Sheffield Utd,22,0.70,0.00
D,639,Van de Ven,4.4,4.4,Spurs,87,3.56,0.13
F,640,Scarlett,4.5,4.5,Spurs,6,0.37,0.00
F,641,Veliz,5.4,5.4,Spurs,0,0.00,0.00
M,642,Álvarez,5.0,5.0,West Ham,69,1.69,0.00
D,643,Aarons,4.4,4.4,Bournemouth,22,0.60,0.00
M,644,Scott,4.9,4.9,Bournemouth,34,1.26,0.00
F,645,Y. Chermiti,4.8,4.8,Everton,6,0.32,0.00
G,646,Hein,4.0,4.0,Arsenal,0,0.00,0.00
G,647,Anang,4.0,4.0,West Ham,0,0.00,0.00
D,648,Francis-Clarke,4.0,4.0,Luton,0,0.00,0.00
F,649,Cannon,4.5,4.5,Everton,0,0.00,0.00
M,650,Onyango,4.4,4.4,Everton,0,0.00,0.00
F,651,Stansfield,4.5,4.5,Fulham,0,0.00,0.00
M,652,Dibley-Dias,4.5,4.5,Fulham,0,0.00,0.00
D,653,Seriki,3.9,3.9,Sheffield Utd,0,0.00,0.00
F,654,Marsh,4.5,4.5,Sheffield Utd,0,0.00,0.00
M,655,Brooks,4.4,4.4,Sheffield Utd,54,1.75,0.00
F,656,Hackford,4.4,4.4,Sheffield Utd,0,0.00,0.00
M,657,Rak-Sakyi,4.5,4.5,Crystal Palace,1,0.07,0.00
F,658,Gordon,4.5,4.5,Crystal Palace,0,0.00,0.00
G,659,Bergström,3.9,3.9,Chelsea,0,0.00,0.00
M,660,Odobert,5.0,5.0,Burnley,85,3.61,0.00
M,661,Harrison,5.5,5.5,Everton,0,0.00,0.00
M,662,Adama,4.9,4.9,Fulham,15,0.88,0.00
M,663,Hamer,4.9,4.9,Sheffield Utd,87,2.63,0.00
M,664,Ward-Prowse,5.7,5.7,West Ham,77,2.27,0.00
G,665,Krul,4.4,4.4,Luton,0,0.00,0.00
M,666,T.Davies,5.0,5.0,Sheffield Utd,4,0.17,0.00
M,667,Lavia,4.9,4.9,Chelsea,0,0.00,0.00
M,668,Endo,5.4,5.4,Liverpool,63,2.32,0.00
G,669,Vítek,4.0,4.0,Man Utd,0,0.00,0.00
G,670,Marschall,4.0,4.0,Aston Villa,0,0.00,0.00
D,671,Humphreys,4.0,4.0,Chelsea,0,0.00,0.00
M,672,Zaniolo,5.4,5.4,Aston Villa,0,0.00,0.00
M,673,Adams,4.9,4.9,Bournemouth,16,0.53,0.00
D,674,Delcroix,4.0,4.0,Burnley,5,0.16,0.00
M,675,A.Ramsey,5.0,5.0,Burnley,0,0.00,0.00
D,676,Mavropanos,4.5,4.5,West Ham,27,0.34,0.00
F,677,Deivid,4.5,4.5,Chelsea,2,0.15,0.00
M,678,Doku,6.4,6.4,Man City,32,2.22,0.00
D,679,G.Montiel,4.4,4.4,Nott'm Forest,61,2.19,0.00
G,680,Beach,4.0,4.0,Chelsea,0,0.00,0.00
M,681,Diego Moreira,4.5,4.5,Chelsea,0,0.00,0.00
D,682,Johnson,4.0,4.0,Luton,5,0.12,0.00
M,683,Harris,4.5,4.5,Fulham,0,0.00,0.00
M,684,Brierley,4.5,4.5,Brentford,0,0.00,0.00
M,685,Gore,4.5,4.5,Man Utd,0,0.00,0.00
G,686,Zych,4.0,4.0,Aston Villa,0,0.00,0.00
G,687,Petrović,4.7,4.6,Chelsea,92,3.77,0.83
D,688,Castagne,4.5,4.5,Fulham,84,3.25,0.00
M,689,Kudus,6.7,6.7,West Ham,87,2.47,0.00
M,690,Baleba,4.5,4.5,Brighton,49,1.61,0.00
F,691,Beto,5.7,5.7,Everton,34,1.52,0.00
G,692,Benda,4.0,4.0,Fulham,0,0.00,0.00
D,693,Thomas,4.0,4.0,Sheffield Utd,0,0.00,0.00
M,694,Massengo,4.9,4.9,Burnley,1,0.06,0.00
G,695,Altay,3.9,3.9,Man Utd,0,0.00,0.00
D,696,Murillo,4.5,4.5,Nott'm Forest,92,2.71,0.00
D,697,S.Bueno,4.5,4.5,Wolves,68,1.23,0.00
M,698,González,5.0,5.0,Wolves,0,0.00,0.00
D,699,Lenglet,4.5,4.5,Aston Villa,22,0.72,0.00
M,700,Ansu Fati,6.4,6.4,Brighton,15,0.91,0.00
M,701,Ghoddos,4.5,4.5,Brentford,11,0.48,0.00
D,702,Phillips,4.0,4.0,Spurs,0,0.00,0.00
D,703,Evans,4.0,4.0,Man Utd,58,1.74,0.00
F,704,Fraser,4.5,4.5,Wolves,7,0.37,0.00
M,705,Sinisterra,5.5,5.5,Bournemouth,0,0.00,0.00
M,706,M.Trésor,5.2,5.2,Burnley,4,0.27,0.00
D,707,Ballo-Touré,4.5,4.5,Fulham,4,0.15,0.00
M,708,Gravenberch,5.0,5.0,Liverpool,37,1.74,0.00
M,709,Amrabat,5.0,5.0,Man Utd,33,0.99,0.00
G,710,Odysseas,4.5,4.5,Nott'm Forest,0,0.00,0.00
D,711,Omobamidele,4.5,4.5,Nott'm Forest,16,0.46,0.00
M,712,Dominguez,5.0,5.0,Nott'm Forest,0,0.00,0.00
M,713,Sangaré,4.9,4.9,Nott'm Forest,26,0.96,0.00
F,714,Origi,5.0,5.0,Nott'm Forest,17,0.95,0.00
M,715,Bellegarde,4.9,4.9,Wolves,22,0.90,0.00
D,716,Gilchrist,4.0,4.0,Chelsea,0,0.00,0.00
F,717,Stutter,4.5,4.5,Chelsea,0,0.00,0.00
M,718,Matos,4.5,4.5,Chelsea,0,0.00,0.00
M,719,Hunt,4.5,4.5,Everton,0,0.00,0.00
F,720,Ola-Adebomi,4.5,4.5,Crystal Palace,0,0.00,0.00
M,721,Ozoh,4.5,4.5,Crystal Palace,0,0.00,0.00
F,722,Donley,4.5,4.5,Spurs,0,0.00,0.00
D,723,Brooking,4.0,4.0,Chelsea,0,0.00,0.00
M,724,Raymond,4.5,4.5,Crystal Palace,0,0.00,0.00
D,725,Kim Ji-Soo,4.0,4.0,Brentford,0,0.00,0.00
D,726,Chambers,4.0,4.0,Liverpool,0,0.00,0.00
M,727,Townsend,5.0,5.0,Luton,24,1.29,0.00
D,728,Scanlon,3.9,3.9,Liverpool,0,0.00,0.00
M,729,Luker,4.5,4.5,Luton,0,0.00,0.00
M,730,Oné,4.4,4.4,Sheffield Utd,0,0.00,0.00
D,731,Buyabu,4.0,4.0,Sheffield Utd,0,0.00,0.00
D,732,Tanton,4.0,4.0,Fulham,1,0.04,0.00
D,733,Adedokun,4.0,4.0,Brentford,0,0.00,0.00
M,734,Nelson,4.5,4.5,Luton,0,0.00,0.00
M,735,Sagoe,4.5,4.5,Arsenal,0,0.00,0.00
D,736,Walters,4.0,4.0,Arsenal,0,0.00,0.00
M,737,Ibrahim,4.5,4.5,Arsenal,0,0.00,0.00
M,738,Diallo,4.5,4.5,Newcastle,0,0.00,0.00
F,739,Parkinson,4.5,4.5,Newcastle,1,0.06,0.00
D,740,Dorrington,4.0,4.0,Spurs,0,0.00,0.00
F,741,O’Mahony,4.5,4.5,Brighton,11,0.47,0.00
M,742,Baker-Boaitey,4.5,4.5,Brighton,0,0.00,0.00
M,743,Nyoni,4.5,4.5,Liverpool,0,0.00,0.00
M,744,Peart-Harris,4.5,4.5,Brentford,0,0.00,0.00
F,745,Ndiweni,4.4,4.4,Newcastle,0,0.00,0.00
D,746,Jackson,4.0,4.0,Brighton,4,0.12,0.00
M,747,Duffus,4.4,4.4,Brighton,0,0.00,0.00
F,748,Hugill,4.5,4.5,Man Utd,0,0.00,0.00
M,749,Whittingham,4.5,4.5,Wolves,0,0.00,0.00
M,750,Chirewa,4.4,4.4,Wolves,5,0.28,0.00
D,751,Hubner,4.0,4.0,Wolves,1,0.03,0.00
G,752,Angelini,4.0,4.0,Brentford,0,0.00,0.00
D,753,Kavanagh,4.0,4.0,Brighton,4,0.11,0.00
M,754,Yago Santiago,4.5,4.5,Spurs,1,0.08,0.00
M,755,Barrington,4.5,4.5,Brighton,0,0.00,0.00
G,756,Pitaluga,4.0,4.0,Liverpool,0,0.00,0.00
D,757,Bradley,4.1,4.1,Liverpool,21,1.13,0.01
M,758,Castledine,4.5,4.5,Chelsea,0,0.00,0.00
M,759,Peck,4.4,4.4,Sheffield Utd,0,0.00,0.00
M,760,Metcalfe,4.5,4.5,Everton,0,0.00,0.00
D,761,Campbell,4.0,4.0,Everton,0,0.00,0.00
M,762,Susoho,4.5,4.5,Man City,0,0.00,0.00
D,763,Adaramola,4.0,4.0,Crystal Palace,0,0.00,0.00
M,764,Lewis-Skelly,4.5,4.5,Arsenal,0,0.00,0.00
G,765,Proctor,4.0,4.0,Aston Villa,0,0.00,0.00
D,766,Kambwala,3.9,3.9,Man Utd,12,0.34,0.00
M,767,O'Reilly,4.5,4.5,Aston Villa,0,0.00,0.00
D,768,Bennett,4.0,4.0,Man Utd,0,0.00,0.00
M,769,Hesketh,4.5,4.5,Wolves,0,0.00,0.00
M,770,Barnett,4.5,4.5,Wolves,0,0.00,0.00
M,771,Hamilton,4.5,4.5,Man City,0,0.00,0.00
M,772,Nwaneri,4.5,4.5,Arsenal,0,0.00,0.00
M,773,Orford,4.5,4.5,West Ham,0,0.00,0.00
D,774,Casey,4.0,4.0,West Ham,0,0.00,0.00
M,775,Brereton Díaz,5.0,5.0,Sheffield Utd,87,3.20,0.00
F,776,Werner,6.3,6.3,Spurs,0,0.00,0.00
D,777,Drăgușin,4.2,4.2,Spurs,62,2.68,0.00
G,778,Wright,4.0,4.0,Aston Villa,0,0.00,0.00
M,779,McDonnell,4.5,4.5,Nott'm Forest,0,0.00,0.00
F,780,Osong,4.5,4.5,Nott'm Forest,0,0.00,0.00
F,781,Gardner,4.5,4.5,Nott'm Forest,0,0.00,0.00
D,782,Beck,4.5,4.5,Liverpool,0,0.00,0.00
M,783,Gordon,4.5,4.5,Liverpool,0,0.00,0.00
D,784,Scarles,4.0,4.0,West Ham,0,0.00,0.00
F,785,Marshall,4.5,4.5,West Ham,0,0.00,0.00
M,786,Peupion,4.5,4.5,Brighton,0,0.00,0.00
M,787,Griffiths,4.5,4.5,Wolves,0,0.00,0.00
D,788,Mosquera,4.0,4.0,Wolves,0,0.00,0.00
G,789,Valdimarsson,4.0,4.0,Brentford,0,0.00,0.00
G,790,Grbić,4.5,4.5,Sheffield Utd,0,0.00,0.00
M,791,Casadei,4.5,4.5,Chelsea,12,0.62,0.00
D,792,Muñoz,4.5,4.5,Crystal Palace,88,3.13,0.02
D,793,Kesler-Hayden,4.0,4.0,Aston Villa,6,0.21,0.00
M,794,White,4.5,4.5,Newcastle,1,0.06,0.00
M,795,Hernes,4.5,4.5,Newcastle,0,0.00,0.00
M,796,Sekularac,4.4,4.4,Fulham,0,0.00,0.00
D,797,Fredrick,4.0,4.0,Brentford,0,0.00,0.00
D,798,Hashioka,4.0,4.0,Luton,77,2.61,0.00
M,799,Faivre,5.0,5.0,Bournemouth,2,0.09,0.00
M,800,N.Lemina,5.0,5.0,Wolves,0,0.00,0.00
M,801,Reyna,4.6,4.6,Nott'm Forest,21,1.06,0.00
D,802,Kinsey,4.0,4.0,Bournemouth,2,0.04,0.00
M,803,Rogers,5.0,5.0,Aston Villa,0,0.00,0.00
F,804,Enes Ünal,5.0,5.0,Bournemouth,17,0.89,0.00
D,805,Assignon,4.0,4.0,Burnley,89,3.26,0.00
D,806,Estève,4.0,4.0,Burnley,85,2.85,0.00
M,807,Wharton,5.0,5.0,Crystal Palace,69,2.38,0.00
G,808,Sels,4.5,4.5,Nott'm Forest,93,3.48,0.00
F,809,Ribeiro,4.5,4.5,Nott'm Forest,0,0.00,0.00
M,810,King,4.5,4.5,Fulham,0,0.00,0.00
M,811,Sadi,4.5,4.5,Bournemouth,0,0.00,0.00
F,812,Koumas,4.5,4.5,Liverpool,0,0.00,0.00
G,813,Mrozek,4.0,4.0,Liverpool,0,0.00,0.00
M,814,Wright,4.5,4.5,Man City,0,0.00,0.00
M,815,Bandeira,4.5,4.5,Arsenal,0,0.00,0.00
D,816,Barco,4.0,4.0,Brighton,57,2.08,0.00
D,817,Sweet,4.0,4.0,Arsenal,0,0.00,0.00
G,818,Gauci,3.9,3.9,Aston Villa,0,0.00,0.00
D,819,Samuels-Smith,4.0,4.0,Chelsea,0,0.00,0.00
M,820,Harrison,4.5,4.5,Chelsea,0,0.00,0.00
F,821,Umeh-Chibueze,4.5,4.5,Crystal Palace,0,0.00,0.00
F,822,Blacker,4.5,4.5,Sheffield Utd,0,0.00,0.00
M,823,Arblaster,4.5,4.5,Sheffield Utd,80,2.07,0.00
F,824,Danns,4.3,4.3,Liverpool,0,0.00,0.00
M,825,Rodney,4.5,4.5,Crystal Palace,0,0.00,0.00
M,826,Collyer,4.5,4.5,Man Utd,0,0.00,0.00
D,827,Sasnauskas,4.0,4.0,Sheffield Utd,0,0.00,0.00
D,828,Curtis,4.0,4.0,Sheffield Utd,0,0.00,0.00
M,829,Earthy,4.5,4.5,West Ham,0,0.00,0.00
M,830,Tauriainen,4.5,4.5,Chelsea,0,0.00,0.00
M,831,Piesold,4.5,4.5,Luton,0,0.00,0.00
D,832,Okoduwa,4.0,4.0,Wolves,0,0.00,0.00
D,833,Ogunneye,4.0,4.0,Man Utd,0,0.00,0.00
D,834,Arthur,4.0,4.0,Brentford,1,0.03,0.00
G,835,Mee,4.0,4.0,Man Utd,0,0.00,0.00
F,836,Chiwome,4.5,4.5,Wolves,0,0.00,0.00
D,837,Nallo,4.0,4.0,Liverpool,0,0.00,0.00
D,838,Acheampong,4.0,4.0,Chelsea,0,0.00,0.00
M,839,Martins,4.5,4.5,Luton,0,0.00,0.00
F,840,Holman,4.5,4.5,Wolves,0,0.00,0.00
M,841,Warrington,4.5,4.5,Everton,0,0.00,0.00
M,842,Mathurin,4.4,4.4,Crystal Palace,0,0.00,0.00
M,843,Chouchane,4.5,4.5,Brighton,0,0.00,0.00
D,844,Chigozie,4.0,4.0,Luton,2,0.06,0.00
D,845,Offiah,4.0,4.0,Brighton,53,1.74,0.00
D,846,Amass,4.0,4.0,Man Utd,0,0.00,0.00
G,847,Sharman-Lowe,4.0,4.0,Chelsea,0,0.00,0.00
F,848,Harris,4.5,4.5,Luton,0,0.00,0.00
M,849,Dacosta Gonzalez,4.5,4.5,Bournemouth,0,0.00,0.00
F,850,Wheatley,4.5,4.5,Man Utd,0,0.00,0.00
F,851,George,4.5,4.5,Chelsea,0,0.00,0.00
M,852,Dyer,4.5,4.5,Chelsea,0,0.00,0.00
M,853,Ojinnaka,4.5,4.5,Wolves,0,0.00,0.00
D,854,Munroe,4.0,4.0,Aston Villa,0,0.00,0.00
G,855,McKenna,4.0,4.0,Bournemouth,0,0.00,0.00
D,856,Jackson,4.0,4.0,Man Utd,2,0.06,0.00
M,857,Hampson,4.5,4.5,Sheffield Utd,0,0.00,0.00
G,858,Curd,4.0,4.0,Chelsea,0,0.00,0.00
D,859,Sturge,4.0,4.0,Chelsea,0,0.00,0.00
M,860,Moore,4.5,4.5,Spurs,0,0.00,0.00
D,861,Atom,4.0,4.0,Brighton,3,0.09,0.00
M,862,Hall,4.5,4.5,Spurs,0,0.00,0.00
D,10019,Nathan Ferguson,99.9,99.9,Crystal Palace,0,0.00,0.00
D,10142,Rhys Williams,99.9,99.9,Liverpool,0,0.00,0.00
M,10147,Yunus Emre Konak,99.9,99.9,Brentford,0,0.00,0.00
G,10153,Hákon Rafn Valdimarsson,99.9,99.9,Brentford,0,0.00,0.00
F,10163,Rodrigo Ribeiro,99.9,99.9,Nott'm Forest,0,0.00,0.00
D,10168,Kaine Kesler-Hayden,99.9,99.9,Aston Villa,3,0.09,0.00